shot,         aperture radius, aperture spacing, aperture arrangement, yield
97575,50,200,hex,1.49E+14
97580,50,200,hex,1.09E+14
97584,50,200,hex,1.35E+14
97587,50,200,hex,6.29E+13
97766,100,400,hex,1.46E+14
97771,100,400,hex,1.10E+14
97774,100,400,hex,1.30E+14
97776,100,400,hex,1.04E+14
97987,100,400,hex,1.13E+13
97993,100,400,hex,1.16E+13
97996,150,600,hex,1.02E+13
97998,150,600,hex,1.13E+13
99916,150,600,hex,1.50E+13
99918,150,600,hex,1.92E+13
99919,150,600,hex,1.46E+14
99922,150,600,hex,1.49E+14
99924,150,600,hex,1.44E+14
100523,150,600,hex,1.35E+14
100525,150,600,hex,1.21E+14
100527,150,600,hex,1.17E+14
100941,150,600,hex,
100943,150,600,hex,
100944,150,600,hex,
100952,150,600,hex,1.41E+14
100956,150,600,hex,2.12E+14
100959,150,600,hex,1.66E+14
100968,150,600,hex,9.14E+12
100970,150,600,hex,1.59E+14
100982,150,600,hex,1.71E+14
101769,150,600,hex,1.65E+13
101771,150,600,hex,1.31E+14
101775,150,600,hex,1.57E+13
101777,150,600,hex,1.94E+14
101781,150,600,hex,1.62E+14
102145,150,600,hex,2.12E+14
102149,150,600,hex,1.89E+14
102154,150,600,hex,2.21E+14
102158,150,600,hex,2.18E+14
102354,150,600,hex,2.36E+13
102356,150,600,hex,1.99E+14
102360,150,600,hex,2.11E+14
102363,150,600,hex,2.23E+14
102559,150,600,hex,1.05E+13
102560,150,600,hex,1.31E+14
102563,150,600,hex,1.83E+14
102568,150,600,hex,1.14E+14
102571,150,600,hex,1.26E+14
103602,150,600,hex,2.26E+14
103604,150,600,hex,1.95E+14
103610,150,600,hex,1.51E+14
103614,150,600,hex,1.53E+14
103949,150,600,hex,2.59E+13
103952,150,600,hex,2.67E+14
103955,150,600,hex,2.22E+14
103961,150,600,hex,2.47E+14
103970,150,600,hex,2.42E+14
104387,150,600,hex,1.69E+14
104392,150,600,hex,1.56E+14
104394,150,600,hex,1.64E+14
104397,150,600,hex,1.32E+14
104400,150,600,hex,1.54E+14
104621,150,600,hex,1.99E+13
104625,150,600,hex,1.90E+13
104945,150,600,hex,1.82E+13
104949,150,600,hex,2.02E+14
104953,150,600,hex,1.22E+14
104956,150,600,hex,1.54E+14
104962,150,600,hex,1.44E+14
105701,150,600,hex,2.59E+13
105708,150,600,hex,2.02E+14
105711,150,600,hex,2.06E+14
105714,150,600,hex,1.26E+14
106284,150,600,hex,1.62E+14
106287,150,600,hex,1.82E+14
106291,150,600,hex,1.85E+14
106479,150,600,hex,1.96E+13
106483,150,600,hex,1.90E+14
106488,150,600,hex,1.81E+14
106493,150,600,hex,1.28E+14
106496,150,600,hex,1.60E+14
107735,150,600,hex,1.66E+14
107738,150,600,hex,1.56E+14
107740,150,600,hex,1.29E+14
107742,150,600,hex,1.51E+14
107744,150,600,hex,1.77E+14
107746,150,600,hex,1.30E+13
108220,150,600,hex,1.15E+13
108226,150,600,hex,2.50E+13
108229,150,600,hex,2.67E+13
108232,150,600,hex,2.88E+13
108236,150,600,hex,1.85E+13
108240,150,600,hex,2.07E+13
108249,150,600,hex,5.04E+12
108251,150,600,hex,6.49E+12
108546,50,200,hex,1.82E+14
108548,50,200,hex,2.00E+14
108553,150,600,hex,2.21E+14
108555,150,600,hex,2.23E+14
108556,150,600,hex,1.09E+14
108735,150,600,hex,2.33E+13
108739,200,800,hex,1.37E+14
108742,200,800,hex,1.36E+14
108747,150,600,hex,1.14E+14
109043,150,600,hex,1.05E+13
109044,150,600,hex,1.68E+13
109046,150,600,hex,1.50E+13
109047,150,600,hex,1.66E+13
109050,150,600,hex,1.84E+13
109051,150,600,hex,1.18E+13
109053,150,600,hex,2.01E+13
109054,150,600,hex,1.74E+13
109055,150,600,hex,1.61E+13
109056,150,600,hex,1.80E+13
109057,150,600,hex,1.93E+13
109288,150,600,hex,6.04E+12
109293,150,600,hex,1.63E+14
109297,150,600,hex,8.75E+13
109300,150,600,hex,8.84E+13
109302,150,600,hex,1.24E+14
109636,150,600,hex,2.21E+13
109638,150,600,hex,1.30E+14
109641,150,600,hex,1.20E+14
109646,150,600,hex,1.45E+14
109672,150,600,hex,1.85E+13
109675,150,600,hex,1.60E+14
109677,150,600,hex,1.11E+14
